"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"S000028587" "MATCH" "1" "" "S. cerevisiae" "" "168" "YOR381W-A" "S000028587" "ORF"
"S000003266" "MATCH" "1" "RPL26B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "861" "YGR034W" "S000003266" "ORF"
"S000004597" "MATCH" "1" "MSC1" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "1542" "YML128C" "S000004597" "ORF"
"S000028586" "MATCH" "1" "" "S. cerevisiae" "" "156" "YOR376W-A" "S000028586" "ORF"
"S000003267" "MATCH" "1" "" "S. cerevisiae" "" "351" "YGR035C" "S000003267" "ORF"
"S000003268" "MATCH" "1" "CAX4" "S. cerevisiae" "CAlmodulin-dependent in cmd one two twenty-siX" "720" "YGR036C" "S000003268" "ORF"
"S000004599" "MATCH" "1" "ERO1" "S. cerevisiae" "ER Oxidation or Endoplasmic Reticulum Oxidoreductin" "1692" "YML130C" "S000004599" "ORF"
"S000028584" "MATCH" "1" "" "S. cerevisiae" "" "210" "YOR316C-A" "S000028584" "ORF"
"S000003269" "MATCH" "1" "ACB1" "S. cerevisiae" "Acyl-CoA-Binding" "264" "YGR037C" "S000003269" "ORF"
"S000007620" "MATCH" "1" "" "S. cerevisiae" "" "258" "YLR363W-A" "S000007620" "ORF"
"S000004594" "MATCH" "1" "PGA3" "S. cerevisiae" "Processing of Gas1p and ALP" "939" "YML125C" "S000004594" "ORF"
"S000003262" "MATCH" "1" "POP6" "S. cerevisiae" "Processing Of Precursor RNAs" "477" "YGR030C" "S000003262" "ORF"
"S000007621" "MATCH" "1" "MIN4" "S. cerevisiae" "mitochondrial MINi protein of 4 kDa" "111" "YML007C-A" "S000007621" "ORF"
"S000004593" "MATCH" "1" "TUB3" "S. cerevisiae" "TUBulin" "1636" "YML124C" "S000004593" "ORF"
"S000003263" "MATCH" "1" "IMO32" "S. cerevisiae" "Intermediate cleaved by Mitochondrial Octapeptidyl aminopeptidase" "1029" "YGR031W" "S000003263" "ORF"
"S000004596" "MATCH" "1" "RSC9" "S. cerevisiae" "Remodel the Structure of Chromatin" "1746" "YML127W" "S000004596" "ORF"
"S000003264" "MATCH" "1" "GSC2" "S. cerevisiae" "Glucan Synthase of Cerevisiae" "5688" "YGR032W" "S000003264" "ORF"
"S000004595" "MATCH" "1" "ERG13" "S. cerevisiae" "ERGosterol biosynthesis" "1476" "YML126C" "S000004595" "ORF"
"S000028588" "MATCH" "1" "" "S. cerevisiae" "" "192" "YPL038W-A" "S000028588" "ORF"
"S000003265" "MATCH" "1" "TIM21" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "720" "YGR033C" "S000003265" "ORF"
"S000004590" "MATCH" "1" "GTR1" "S. cerevisiae" "GTp binding protein Resemblance" "933" "YML121W" "S000004590" "ORF"
"S000004592" "MATCH" "1" "PHO84" "S. cerevisiae" "PHOsphate metabolism" "1764" "YML123C" "S000004592" "ORF"
"S000003260" "MATCH" "1" "MSP1" "S. cerevisiae" "Mitochondrial Sorting of Proteins" "1089" "YGR028W" "S000003260" "ORF"
"S000003261" "MATCH" "1" "ERV1" "S. cerevisiae" "Essential for Respiration and Viability" "653" "YGR029W" "S000003261" "ORF"
"S000028581" "MATCH" "1" "" "S. cerevisiae" "" "207" "YOR011W-A" "S000028581" "ORF"
"S000028580" "MATCH" "1" "" "S. cerevisiae" "" "183" "YOL164W-A" "S000028580" "ORF"
"S000028548" "MATCH" "1" "" "S. cerevisiae" "" "183" "YGL041C-B" "S000028548" "ORF"
"S000006319" "MATCH" "1" "RGC1" "S. cerevisiae" "Regulator of the Glycerol Channel" "3252" "YPR115W" "S000006319" "ORF"
"S000006317" "MATCH" "1" "PIS1" "S. cerevisiae" "Phosphatidyl Inositol Synthase" "663" "YPR113W" "S000006317" "ORF"
"S000006318" "MATCH" "1" "" "S. cerevisiae" "" "948" "YPR114W" "S000006318" "ORF"
"S000007649" "MATCH" "1" "RCF3" "S. cerevisiae" "Respiratory superComplex Factor" "457" "YBR255C-A" "S000007649" "ORF"
"S000006326" "MATCH" "1" "AXL1" "S. cerevisiae" "AXiaL budding" "3627" "YPR122W" "S000006326" "ORF"
"S000003299" "MATCH" "1" "" "S. cerevisiae" "" "2415" "YGR067C" "S000003299" "ORF"
"S000028553" "MATCH" "1" "" "S. cerevisiae" "" "150" "YHR175W-A" "S000028553" "ORF"
"S000006324" "MATCH" "1" "CLB5" "S. cerevisiae" "CycLin B" "1308" "YPR120C" "S000006324" "ORF"
"S000028552" "MATCH" "1" "" "S. cerevisiae" "" "162" "YHR086W-A" "S000028552" "ORF"
"S000006325" "MATCH" "1" "THI22" "S. cerevisiae" "THIamine metabolism" "1719" "YPR121W" "S000006325" "ORF"
"S000028551" "MATCH" "1" "" "S. cerevisiae" "" "201" "YGR240C-A" "S000028551" "ORF"
"S000028558" "MATCH" "1" "" "S. cerevisiae" "" "213" "YKL183C-A" "S000028558" "ORF"
"S000006322" "MATCH" "1" "MRI1" "S. cerevisiae" "MethylthioRibose-1-phosphate Isomerase" "1236" "YPR118W" "S000006322" "ORF"
"S000003295" "MATCH" "1" "SPT4" "S. cerevisiae" "SuPpressor of Ty's" "309" "YGR063C" "S000003295" "ORF"
"S000028557" "MATCH" "1" "" "S. cerevisiae" "" "51" "YJR151W-A" "S000028557" "ORF"
"S000006323" "MATCH" "1" "CLB2" "S. cerevisiae" "CycLin B" "1476" "YPR119W" "S000006323" "ORF"
"S000006320" "MATCH" "1" "RRG8" "S. cerevisiae" "Required for Respiratory Growth" "834" "YPR116W" "S000006320" "ORF"
"S000007651" "MATCH" "1" "YOS1" "S. cerevisiae" "Yip One Suppressor" "471" "YER074W-A" "S000007651" "ORF"
"S000003297" "MATCH" "1" "VHT1" "S. cerevisiae" "Vitamin H Transporter" "1782" "YGR065C" "S000003297" "ORF"
"S000028556" "MATCH" "1" "" "S. cerevisiae" "" "204" "YIL134C-A" "S000028556" "ORF"
"S000006321" "MATCH" "1" "" "S. cerevisiae" "" "7470" "YPR117W" "S000006321" "ORF"
"S000003298" "MATCH" "1" "GID10" "S. cerevisiae" "Glucose Induced Degradation deficient" "879" "YGR066C" "S000003298" "ORF"
"S000003291" "MATCH" "1" "SPR3" "S. cerevisiae" "SPorulation Regulated" "1539" "YGR059W" "S000003291" "ORF"
"S000007650" "MATCH" "1" "COI1" "S. cerevisiae" "COx Interacting" "539" "YDR381C-A" "S000007650" "ORF"
"S000003292" "MATCH" "1" "ERG25" "S. cerevisiae" "ERGosterol biosynthesis" "930" "YGR060W" "S000003292" "ORF"
"S000003293" "MATCH" "1" "ADE6" "S. cerevisiae" "ADEnine requiring" "4077" "YGR061C" "S000003293" "ORF"
"S000003294" "MATCH" "1" "COX18" "S. cerevisiae" "Cytochrome c OXidase" "951" "YGR062C" "S000003294" "ORF"
"S000028550" "MATCH" "1" "" "S. cerevisiae" "" "216" "YGR121W-A" "S000028550" "ORF"
"S000003290" "MATCH" "1" "PEF1" "S. cerevisiae" "Penta-EF-Hand protein" "1008" "YGR058W" "S000003290" "ORF"
"S000006308" "MATCH" "1" "FHL1" "S. cerevisiae" "Fork Head-Like" "2811" "YPR104C" "S000006308" "ORF"
"S000006309" "MATCH" "1" "COG4" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "2586" "YPR105C" "S000006309" "ORF"
"S000006306" "MATCH" "1" "RPL11A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "525" "YPR102C" "S000006306" "ORF"
"S000006307" "MATCH" "1" "PRE2" "S. cerevisiae" "PRoteinase yscE" "864" "YPR103W" "S000006307" "ORF"
"S000028565" "MATCH" "1" "" "S. cerevisiae" "" "132" "YLR157C-C" "S000028565" "ORF"
"S000006315" "MATCH" "1" "DBF20" "S. cerevisiae" "DumbBell Forming" "1695" "YPR111W" "S000006315" "ORF"
"S000003288" "MATCH" "1" "RSC1" "S. cerevisiae" "Remodel the Structure of Chromatin" "2787" "YGR056W" "S000003288" "ORF"
"S000028564" "MATCH" "1" "" "S. cerevisiae" "" "132" "YLR156C-A" "S000028564" "ORF"
"S000006316" "MATCH" "1" "MRD1" "S. cerevisiae" "Multiple RNA-binding domain" "2664" "YPR112C" "S000006316" "ORF"
"S000003289" "MATCH" "1" "LST7" "S. cerevisiae" "Lethal with Sec Thirteen" "729" "YGR057C" "S000003289" "ORF"
"S000006313" "MATCH" "1" "GLD1" "S. cerevisiae" "Golgi/endosome Localized Dsc protein" "885" "YPR109W" "S000006313" "ORF"
"S000028562" "MATCH" "1" "" "S. cerevisiae" "" "132" "YLR154C-H" "S000028562" "ORF"
"S000006314" "MATCH" "1" "RPC40" "S. cerevisiae" "RNA Polymerase C" "1008" "YPR110C" "S000006314" "ORF"
"S000028569" "MATCH" "1" "" "S. cerevisiae" "" "171" "YLR285C-A" "S000028569" "ORF"
"S000006311" "MATCH" "1" "YTH1" "S. cerevisiae" "Yeast THirty kDa Homolog" "627" "YPR107C" "S000006311" "ORF"
"S000003284" "MATCH" "1" "FMP48" "S. cerevisiae" "Found in Mitochondrial Proteome" "1110" "YGR052W" "S000003284" "ORF"
"S000006312" "MATCH" "1" "RPN7" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1290" "YPR108W" "S000006312" "ORF"
"S000003285" "MATCH" "1" "MCO32" "S. cerevisiae" "Mitochondrial Class One protein of 32 kDa" "852" "YGR053C" "S000003285" "ORF"
"S000028567" "MATCH" "1" "RRT15" "S. cerevisiae" "Regulator of rDNA Transcription" "189" "YLR162W-A" "S000028567" "ORF"
"S000003286" "MATCH" "1" "" "S. cerevisiae" "" "1929" "YGR054W" "S000003286" "ORF"
"S000028566" "MATCH" "1" "" "S. cerevisiae" "" "132" "YLR159C-A" "S000028566" "ORF"
"S000006310" "MATCH" "1" "ISR1" "S. cerevisiae" "Inhibition of Staurosporine Resistance" "1332" "YPR106W" "S000006310" "ORF"
"S000003287" "MATCH" "1" "MUP1" "S. cerevisiae" "Methionine UPtake" "1725" "YGR055W" "S000003287" "ORF"
"S000003280" "MATCH" "1" "UFD1" "S. cerevisiae" "Ubiquitin Fusion Degradation protein" "1086" "YGR048W" "S000003280" "ORF"
"S000003281" "MATCH" "1" "SCM4" "S. cerevisiae" "Suppressor of Cdc4 Mutation" "564" "YGR049W" "S000003281" "ORF"
"S000003282" "MATCH" "1" "" "S. cerevisiae" "" "357" "YGR050C" "S000003282" "ORF"
"S000028561" "MATCH" "1" "" "S. cerevisiae" "" "150" "YLR154C-G" "S000028561" "ORF"
"S000028560" "MATCH" "1" "" "S. cerevisiae" "" "177" "YLL006W-A" "S000028560" "ORF"
"S000028529" "MATCH" "1" "" "S. cerevisiae" "" "240" "YBL008W-A" "S000028529" "ORF"
"S000028527" "MATCH" "1" "COA2" "S. cerevisiae" "Cytochrome Oxidase Assembly" "207" "YPL189C-A" "S000028527" "ORF"
"S000028526" "MATCH" "1" "MCO10" "S. cerevisiae" "Mitochondrial Class One protein of 10 kDa" "273" "YOR020W-A" "S000028526" "ORF"
"S000004558" "MATCH" "1" "UTP14" "S. cerevisiae" "U Three Protein" "2700" "YML093W" "S000004558" "ORF"
"S000005889" "MATCH" "1" "PRE10" "S. cerevisiae" "PRoteinase yscE" "867" "YOR362C" "S000005889" "ORF"
"S000003226" "MATCH" "1" "MNT2" "S. cerevisiae" "MaNnosylTransferase" "1677" "YGL257C" "S000003226" "ORF"
"S000004557" "MATCH" "1" "PRE8" "S. cerevisiae" "PRoteinase yscE" "753" "YML092C" "S000004557" "ORF"
"S000005888" "MATCH" "1" "PRT1" "S. cerevisiae" "PRoTein synthesis" "2292" "YOR361C" "S000005888" "ORF"
"S000003227" "MATCH" "1" "VEL1" "S. cerevisiae" "VELum formation" "621" "YGL258W" "S000003227" "ORF"
"S000003228" "MATCH" "1" "YPS5" "S. cerevisiae" "YaPSin" "498" "YGL259W" "S000003228" "ORF"
"S000004559" "MATCH" "1" "GIM5" "S. cerevisiae" "Gene Involved in Microtubule biogenesis" "575" "YML094W" "S000004559" "ORF"
"S000003229" "MATCH" "1" "" "S. cerevisiae" "" "231" "YGL260W" "S000003229" "ORF"
"S000004565" "MATCH" "1" "ARG81" "S. cerevisiae" "ARGinine requiring" "2643" "YML099C" "S000004565" "ORF"
"S000005896" "MATCH" "1" "RPS12" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "432" "YOR369C" "S000005896" "ORF"
"S000028532" "MATCH" "1" "" "S. cerevisiae" "" "162" "YBR072C-A" "S000028532" "ORF"
"S000003233" "MATCH" "1" "EFM5" "S. cerevisiae" "Elongation Factor Methyltransferase" "902" "YGR001C" "S000003233" "ORF"
"S000004564" "MATCH" "1" "TAF13" "S. cerevisiae" "TATA binding protein-Associated Factor" "504" "YML098W" "S000004564" "ORF"
"S000005895" "MATCH" "1" "RAD17" "S. cerevisiae" "RADiation sensitive" "1206" "YOR368W" "S000005895" "ORF"
"S000003234" "MATCH" "1" "SWC4" "S. cerevisiae" "SWr Complex" "1431" "YGR002C" "S000003234" "ORF"
"S000005898" "MATCH" "1" "GPB1" "S. cerevisiae" "" "2694" "YOR371C" "S000005898" "ORF"
"S000003235" "MATCH" "1" "CUL3" "S. cerevisiae" "CULlin" "2235" "YGR003W" "S000003235" "ORF"
"S000004566" "MATCH" "1" "TSL1" "S. cerevisiae" "Trehalose Synthase Long chain" "3297" "YML100W" "S000004566" "ORF"
"S000005897" "MATCH" "1" "MRS6" "S. cerevisiae" "Mitochondrial RNA Splicing" "1812" "YOR370C" "S000005897" "ORF"
"S000003236" "MATCH" "1" "PEX31" "S. cerevisiae" "PEroXisome related" "1389" "YGR004W" "S000003236" "ORF"
"S000005892" "MATCH" "1" "" "S. cerevisiae" "" "2112" "YOR365C" "S000005892" "ORF"
"S000028536" "MATCH" "1" "" "S. cerevisiae" "" "192" "YCR108C" "S000028536" "ORF"
"S000004560" "MATCH" "1" "RAD10" "S. cerevisiae" "RADiation sensitive" "633" "YML095C" "S000004560" "ORF"
"S000028535" "MATCH" "1" "" "S. cerevisiae" "" "165" "YBR200W-A" "S000028535" "ORF"
"S000003230" "MATCH" "1" "PAU11" "S. cerevisiae" "seriPAUperin" "363" "YGL261C" "S000003230" "ORF"
"S000004563" "MATCH" "1" "VPS9" "S. cerevisiae" "Vacuolar Protein Sorting" "1356" "YML097C" "S000004563" "ORF"
"S000005894" "MATCH" "1" "SCP1" "S. cerevisiae" "S. cerevisiae CalPonin" "603" "YOR367W" "S000005894" "ORF"
"S000028534" "MATCH" "1" "" "S. cerevisiae" "" "150" "YBR196C-A" "S000028534" "ORF"
"S000003231" "MATCH" "1" "" "S. cerevisiae" "" "528" "YGL262W" "S000003231" "ORF"
"S000004562" "MATCH" "1" "" "S. cerevisiae" "" "1578" "YML096W" "S000004562" "ORF"
"S000003232" "MATCH" "1" "COS12" "S. cerevisiae" "COnserved Sequence" "1143" "YGL263W" "S000003232" "ORF"
"S000005890" "MATCH" "1" "PIP2" "S. cerevisiae" "Peroxisome Induction Pathway" "2991" "YOR363C" "S000005890" "ORF"
"S000003219" "MATCH" "1" "RMR1" "S. cerevisiae" "Reduced Meiotic Recombination" "726" "YGL250W" "S000003219" "ORF"
"S000028539" "MATCH" "1" "" "S. cerevisiae" "" "204" "YDR182W-A" "S000028539" "ORF"
"S000028538" "MATCH" "1" "" "S. cerevisiae" "" "150" "YDR169C-A" "S000028538" "ORF"
"S000028537" "MATCH" "1" "" "S. cerevisiae" "" "249" "YDL022C-A" "S000028537" "ORF"
"S000004547" "MATCH" "1" "" "S. cerevisiae" "" "1950" "YML082W" "S000004547" "ORF"
"S000005878" "MATCH" "1" "MEK1" "S. cerevisiae" "MEiotic Kinase" "1494" "YOR351C" "S000005878" "ORF"
"S000003215" "MATCH" "1" "RAI1" "S. cerevisiae" "Rat1p Interacting Protein" "1164" "YGL246C" "S000003215" "ORF"
"S000004546" "MATCH" "1" "TDA9" "S. cerevisiae" "Topoisomerase I Damage Affected" "3756" "YML081W" "S000004546" "ORF"
"S000005877" "MATCH" "1" "MNE1" "S. cerevisiae" "" "1992" "YOR350C" "S000005877" "ORF"
"S000003216" "MATCH" "1" "BRR6" "S. cerevisiae" "Bad Response to Refrigeration" "594" "YGL247W" "S000003216" "ORF"
"S000003217" "MATCH" "1" "PDE1" "S. cerevisiae" "PhosphoDiEsterase" "1110" "YGL248W" "S000003217" "ORF"
"S000004548" "MATCH" "1" "" "S. cerevisiae" "" "1257" "YML083C" "S000004548" "ORF"
"S000005879" "MATCH" "1" "TFB6" "S. cerevisiae" "" "1032" "YOR352W" "S000005879" "ORF"
"S000003218" "MATCH" "1" "ZIP2" "S. cerevisiae" "ZIPping up meiotic chromosomes" "2115" "YGL249W" "S000003218" "ORF"
"S000005885" "MATCH" "1" "HAP5" "S. cerevisiae" "Heme Activator Protein" "729" "YOR358W" "S000005885" "ORF"
"S000003222" "MATCH" "1" "HXK2" "S. cerevisiae" "HeXoKinase" "1461" "YGL253W" "S000003222" "ORF"
"S000004553" "MATCH" "1" "UFO1" "S. cerevisiae" "UV-F-box-HO" "2007" "YML088W" "S000004553" "ORF"
"S000005884" "MATCH" "1" "SNX3" "S. cerevisiae" "Sorting NeXin" "489" "YOR357C" "S000005884" "ORF"
"S000000195" "MATCH" "1" "ATP1" "S. cerevisiae" "ATP synthase" "1638" "YBL099W" "S000000195" "ORF"
"S000028542" "MATCH" "1" "" "S. cerevisiae" "" "201" "YDR246W-A" "S000028542" "ORF"
"S000003223" "MATCH" "1" "FZF1" "S. cerevisiae" "Five Zinc Fingers" "900" "YGL254W" "S000003223" "ORF"
"S000004556" "MATCH" "1" "RPM2" "S. cerevisiae" "RNase P Mitochondrial" "3609" "YML091C" "S000004556" "ORF"
"S000005887" "MATCH" "1" "PDE2" "S. cerevisiae" "PhosphoDiEsterase" "1581" "YOR360C" "S000005887" "ORF"
"S000000194" "MATCH" "1" "BNA4" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1383" "YBL098W" "S000000194" "ORF"
"S000028541" "MATCH" "1" "" "S. cerevisiae" "" "153" "YDR194W-A" "S000028541" "ORF"
"S000003224" "MATCH" "1" "ZRT1" "S. cerevisiae" "Zinc-Regulated Transporter" "1131" "YGL255W" "S000003224" "ORF"
"S000005886" "MATCH" "1" "VTS1" "S. cerevisiae" "VTi1-2 Suppressor" "1572" "YOR359W" "S000005886" "ORF"
"S000000193" "MATCH" "1" "BRN1" "S. cerevisiae" "homolog of BaRreN" "2265" "YBL097W" "S000000193" "ORF"
"S000003225" "MATCH" "1" "ADH4" "S. cerevisiae" "Alcohol DeHydrogenase" "1149" "YGL256W" "S000003225" "ORF"
"S000004550" "MATCH" "1" "TUB1" "S. cerevisiae" "TUBulin" "1460" "YML085C" "S000004550" "ORF"
"S000005881" "MATCH" "1" "MSC6" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "2079" "YOR354C" "S000005881" "ORF"
"S000028547" "MATCH" "1" "" "S. cerevisiae" "" "192" "YFL041W-A" "S000028547" "ORF"
"S000005880" "MATCH" "1" "SOG2" "S. cerevisiae" "" "2376" "YOR353C" "S000005880" "ORF"
"S000000199" "MATCH" "1" "RTG3" "S. cerevisiae" "ReTroGrade regulation" "1461" "YBL103C" "S000000199" "ORF"
"S000028546" "MATCH" "1" "" "S. cerevisiae" "" "165" "YER078W-A" "S000028546" "ORF"
"S000004552" "MATCH" "1" "AIM33" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "939" "YML087C" "S000004552" "ORF"
"S000005883" "MATCH" "1" "CIR2" "S. cerevisiae" "Changed Intracellular Redox state" "1896" "YOR356W" "S000005883" "ORF"
"S000000198" "MATCH" "1" "SFT2" "S. cerevisiae" "Suppressor of sed Five Ts" "648" "YBL102W" "S000000198" "ORF"
"S000003220" "MATCH" "1" "HFM1" "S. cerevisiae" "Helicase Family Member" "3716" "YGL251C" "S000003220" "ORF"
"S000004551" "MATCH" "1" "ALO1" "S. cerevisiae" "D-Arabinono-1,4-Lactone Oxidase" "1581" "YML086C" "S000004551" "ORF"
"S000005882" "MATCH" "1" "GDS1" "S. cerevisiae" "" "1569" "YOR355W" "S000005882" "ORF"
"S000000197" "MATCH" "1" "ECM21" "S. cerevisiae" "ExtraCellular Mutant" "3354" "YBL101C" "S000000197" "ORF"
"S000003221" "MATCH" "1" "RTG2" "S. cerevisiae" "ReTroGrade regulation" "1767" "YGL252C" "S000003221" "ORF"
"S000000191" "MATCH" "1" "MRX3" "S. cerevisiae" "Mitochondrial oRganization of gene eXpression (MIOREX)" "813" "YBL095W" "S000000191" "ORF"
"S000007608" "MATCH" "1" "EFG1" "S. cerevisiae" "Exit From G1" "702" "YGR271C-A" "S000007608" "ORF"
"S000007606" "MATCH" "1" "" "S. cerevisiae" "" "87" "YFR012W-A" "S000007606" "ORF"
"S000003248" "MATCH" "1" "" "S. cerevisiae" "" "573" "YGR016W" "S000003248" "ORF"
"S000004579" "MATCH" "1" "BUL2" "S. cerevisiae" "Binds Ubiquitin Ligase" "2763" "YML111W" "S000004579" "ORF"
"S000007607" "MATCH" "1" "" "S. cerevisiae" "" "234" "YGL258W-A" "S000007607" "ORF"
"S000003249" "MATCH" "1" "" "S. cerevisiae" "" "894" "YGR017W" "S000003249" "ORF"
"S000028509" "MATCH" "1" "YSF3" "S. cerevisiae" "Yeast Splicing Factor 3b subunit" "380" "YNL138W-A" "S000028509" "ORF"
"S000007604" "MATCH" "1" "DAD4" "S. cerevisiae" "Duo1 And Dam1 interacting" "219" "YDR320C-A" "S000007604" "ORF"
"S000028508" "MATCH" "1" "VMA9" "S. cerevisiae" "Vacuolar Membrane Atpase" "395" "YCL005W-A" "S000028508" "ORF"
"S000007605" "MATCH" "1" "SDH6" "S. cerevisiae" "" "240" "YDR379C-A" "S000007605" "ORF"
"S000004587" "MATCH" "1" "NGL3" "S. cerevisiae" "" "1518" "YML118W" "S000004587" "ORF"
"S000028510" "MATCH" "1" "SUS1" "S. cerevisiae" "Sl gene Upstream of ySa1" "441" "YBR111W-A" "S000028510" "ORF"
"S000003255" "MATCH" "1" "MTL1" "S. cerevisiae" "Mid-Two Like" "1656" "YGR023W" "S000003255" "ORF"
"S000003256" "MATCH" "1" "THG1" "S. cerevisiae" "tRNAHis Guanylyltransferase" "714" "YGR024C" "S000003256" "ORF"
"S000007611" "MATCH" "1" "COA3" "S. cerevisiae" "Cytochrome Oxidase Assembly" "258" "YJL062W-A" "S000007611" "ORF"
"S000004589" "MATCH" "1" "NDI1" "S. cerevisiae" "NADH Dehydrogenase Internal" "1542" "YML120C" "S000004589" "ORF"
"S000004588" "MATCH" "1" "" "S. cerevisiae" "" "1074" "YML119W" "S000004588" "ORF"
"S000003258" "MATCH" "1" "" "S. cerevisiae" "" "837" "YGR026W" "S000003258" "ORF"
"S000028514" "MATCH" "1" "CMC4" "S. cerevisiae" "Cx9C Motif-Containing protein" "294" "YMR194C-B" "S000028514" "ORF"
"S000004583" "MATCH" "1" "VAN1" "S. cerevisiae" "VANadate resistance protein" "1608" "YML115C" "S000004583" "ORF"
"S000003251" "MATCH" "1" "UGA1" "S. cerevisiae" "Utilization of GAba" "1416" "YGR019W" "S000003251" "ORF"
"S000007610" "MATCH" "1" "" "S. cerevisiae" "" "120" "YJL052C-A" "S000007610" "ORF"
"S000028513" "MATCH" "1" "" "S. cerevisiae" "" "379" "YJR112W-A" "S000028513" "ORF"
"S000004582" "MATCH" "1" "TAF8" "S. cerevisiae" "TATA binding protein-Associated Factor" "1533" "YML114C" "S000004582" "ORF"
"S000003252" "MATCH" "1" "VMA7" "S. cerevisiae" "Vacuolar Membrane Atpase" "357" "YGR020C" "S000003252" "ORF"
"S000028512" "MATCH" "1" "PCC1" "S. cerevisiae" "Polarized growth Chromatin-associated Controller" "342" "YKR095W-A" "S000028512" "ORF"
"S000004585" "MATCH" "1" "NAB6" "S. cerevisiae" "Nucleic Acid Binding protein" "3405" "YML117W" "S000004585" "ORF"
"S000003253" "MATCH" "1" "DPC29" "S. cerevisiae" "Delta-Psi dependent mitochondrial import and Cleavage protein of ~29 kDa" "873" "YGR021W" "S000003253" "ORF"
